-------------------------------------------------------------------------------
NGINX Ingress controller
  Release:       v1.3.1
  Build:         92534fa2ae799b502882c8684db13a25cde68155
  Repository:    https://github.com/kubernetes/ingress-nginx
W1121 14:30:00.886937       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:00.886966       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:00.886981       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:00.886991       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:00.887003       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:04.219789       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:04.219815       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:04.219834       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:04.219849       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:04.219866       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:07.553181       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:07.553214       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:07.553228       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:07.553239       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:07.553254       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:10.886985       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:10.887009       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:10.887023       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:10.887039       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:10.887054       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:14.219975       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:14.219998       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:14.220012       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:14.220022       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:14.220038       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:17.553482       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:17.553516       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:17.553548       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:17.553568       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:20.886273       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:20.886300       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:20.886347       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:20.886367       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:24.219969       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:24.220003       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:24.220030       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:24.220048       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
I1121 14:30:26.545668       7 leaderelection.go:258] successfully acquired lease knime/ingress-controller-leader
I1121 14:30:26.545739       7 status.go:84] "New leader elected" identity="ingress-nginx-controller-b485b478d-5kcfh"
I1121 14:30:26.548705       7 status.go:299] "updating Ingress status" namespace="kurl" ingress="registry" currentValue=[] newValue=[{IP:***HIDDEN*** Hostname: Ports:[]}]
I1121 14:30:26.548772       7 status.go:299] "updating Ingress status" namespace="knime" ingress="minio" currentValue=[] newValue=[{IP:***HIDDEN*** Hostname: Ports:[]}]
I1121 14:30:26.548800       7 status.go:299] "updating Ingress status" namespace="istio-system" ingress="hub" currentValue=[] newValue=[{IP:***HIDDEN*** Hostname: Ports:[]}]
I1121 14:30:26.548808       7 status.go:299] "updating Ingress status" namespace="hub" ingress="execution-webapp" currentValue=[] newValue=[{IP:***HIDDEN*** Hostname: Ports:[]}]
I1121 14:30:26.548895       7 status.go:299] "updating Ingress status" namespace="knime" ingress="keycloak" currentValue=[] newValue=[{IP:***HIDDEN*** Hostname: Ports:[]}]
I1121 14:30:26.552718       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"knime", Name:"minio", UID:"e656d440-7b9c-426b-a45f-1f433cf254e0", APIVersion:"networking.k8s.io/v1", ResourceVersion:"745228", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:30:26.555736       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"knime", Name:"keycloak", UID:"ce290fcf-d5aa-4c0a-82fa-4a036ffd8bf7", APIVersion:"networking.k8s.io/v1", ResourceVersion:"745229", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:30:26.556547       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"kurl", Name:"registry", UID:"19eb3be9-7566-42d3-9b33-19184a6b338c", APIVersion:"networking.k8s.io/v1", ResourceVersion:"745230", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:30:26.556691       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"istio-system", Name:"hub", UID:"7fcd8acf-bbc9-4563-9268-482d09cc8ac8", APIVersion:"networking.k8s.io/v1", ResourceVersion:"745231", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
I1121 14:30:26.556840       7 event.go:285] Event(v1.ObjectReference{Kind:"Ingress", Namespace:"hub", Name:"execution-webapp", UID:"c83d26ba-2c57-4ac2-8134-8a56b1a4ace0", APIVersion:"networking.k8s.io/v1", ResourceVersion:"745232", FieldPath:""}): type: 'Normal' reason: 'Sync' Scheduled for sync
W1121 14:30:27.553396       7 controller.go:1112] Service "knime/minio" does not have any active Endpoint.
W1121 14:30:27.553428       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:27.553446       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:27.553464       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:27.553490       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:30.886700       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:30.886725       7 controller.go:1112] Service "kurl/registry" does not have any active Endpoint.
W1121 14:30:30.886736       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:30.886746       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:34.220345       7 controller.go:1112] Service "istio-system/istio-ingressgateway" does not have any active Endpoint.
W1121 14:30:34.220381       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:34.220393       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:37.553811       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:37.553833       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
***HIDDEN*** - - [21/Nov/2023:14:30:40 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 503 190 "-" "Vert.x-WebClient/4.4.4" 1295 0.000 [knime-keycloak-8443] [] - - - - f511e329-bdf7-4273-ba25-d6f9afd10fec
W1121 14:30:40.886991       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:40.887016       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:44.220101       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:44.220124       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:30:47.553168       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:47.553200       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
***HIDDEN*** - - [21/Nov/2023:14:30:48 +0000] "GET /auth/realms/knime/.well-known/openid-configuration HTTP/1.1" 503 190 "-" "Vert.x-WebClient/4.4.4" 1268 0.000 [knime-keycloak-8443] [] - - - - b20a4623-9b17-4c94-80d6-c492b6e0eb5f
W1121 14:30:55.834408       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:30:55.834441       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
***HIDDEN*** - catalog-service [21/Nov/2023:14:30:57 +0000] "POST /auth/realms/knime/protocol/openid-connect/token HTTP/1.1" 503 190 "-" "Vert.x-WebClient/4.4.4" 1435 0.000 [knime-keycloak-8443] [] - - - - 653e242c-9e15-45a4-8c46-9499b36e0f54
***HIDDEN*** - catalog-service [21/Nov/2023:14:30:57 +0000] "POST /auth/realms/knime/protocol/openid-connect/token HTTP/1.1" 503 190 "-" "Vert.x-WebClient/4.4.4" 1435 0.000 [knime-keycloak-8443] [] - - - - 47b36eb3-b282-475c-bbae-afe08e30854d
***HIDDEN*** - - [21/Nov/2023:14:31:03 +0000] "GET /knime-catalog-service/?encoding-type=url HTTP/1.1" 200 994 "-" "aws-sdk-java/1.12.448 Linux/6.2.0-1015-aws OpenJDK_64-Bit_Server_VM/17.0.9+9 java/17.0.9 kotlin/1.8.22 vendor/Eclipse_Adoptium cfg/retry-mode/legacy" 1995 0.007 [knime-minio-9000] [] ***HIDDEN***:9000 994 0.008 200 af6266dd-9454-43a6-9ea3-7782662e691c
***HIDDEN*** - - [21/Nov/2023:14:31:03 +0000] "GET /auth/realms/knime/protocol/openid-connect/certs HTTP/1.1" 503 190 "-" "Java/17.0.9" 1329 0.000 [knime-keycloak-8443] [] - - - - c47d30b9-e185-4a30-8149-83690340ea0c
W1121 14:31:10.519220       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:31:10.519257       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:31:13.853437       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
W1121 14:31:13.853467       7 controller.go:1112] Service "hub/execution-webapp" does not have any active Endpoint.
W1121 14:31:17.186496       7 controller.go:1112] Service "knime/keycloak" does not have any active Endpoint.
