I1121 14:29:53.013597       1 request.go:655] Throttling request took 1.049205256s, request: GET:https://***HIDDEN***:443/apis/apps/v1?timeout=32s
2023-11-21T14:29:54.275Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-s3-proxy-secretconfig", "targetSecret": "hub/keycloak-client-secret-s3-proxy"}
2023-11-21T14:29:54.276Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/knime-artemis-secretconfig", "targetSecret": "hub/knime-artemis"}
2023-11-21T14:29:54.278Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-kubernetes-event-persistor-secretconfig", "targetSecret": "hub/keycloak-client-secret-kubernetes-event-persistor"}
2023-11-21T14:29:54.279Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/session-service-db-secretconfig", "targetSecret": "hub/session-service-db-secret"}
2023-11-21T14:29:54.281Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-catalog-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-catalog-service"}
2023-11-21T14:29:54.328Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/notification-service-db-secretconfig", "targetSecret": "hub/notification-service-db-secret"}
2023-11-21T14:29:54.379Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/accounts-minio-secretconfig", "targetSecret": "hub/accounts-minio-credentials"}
2023-11-21T14:29:54.429Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-auth-rely-secretconfig", "targetSecret": "hub/keycloak-client-secret-auth-rely"}
2023-11-21T14:29:54.478Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/secret-store-db-secretconfig", "targetSecret": "hub/secret-store-db-secret"}
2023-11-21T14:29:54.528Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-lifecycle-handler-secretconfig", "targetSecret": "hub/keycloak-client-secret-lifecycle-handler"}
2023-11-21T14:29:54.578Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-trigger-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-trigger-service"}
2023-11-21T14:29:54.628Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-secret-store-secretconfig", "targetSecret": "hub/keycloak-client-secret-secret-store"}
2023-11-21T14:29:54.678Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-userdata-svc-secretconfig", "targetSecret": "hub/accounts-service-keycloak-client"}
2023-11-21T14:29:54.729Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/catalog-minio-secretconfig", "targetSecret": "hub/catalog-minio-credentials"}
2023-11-21T14:29:54.779Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-notification-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-notification-service"}
2023-11-21T14:29:54.829Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-execution-context-manager-secretconfig", "targetSecret": "hub/keycloak-client-secret-execution-context-manager"}
2023-11-21T14:29:54.879Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-execution-operator-secretconfig", "targetSecret": "hub/keycloak-client-secret-execution-operator"}
2023-11-21T14:29:54.928Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-search-sync-service-secretconfig", "targetSecret": "hub/keycloak-client-secret-search-sync-service"}
2023-11-21T14:29:54.980Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/accounts-service-db-secretconfig", "targetSecret": "hub/accounts-service-db-secret"}
2023-11-21T14:29:55.029Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/trigger-service-db-secretconfig", "targetSecret": "hub/trigger-service-db-secret"}
2023-11-21T14:29:55.079Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-knime-impersonation-secretconfig", "targetSecret": "hub/keycloak-client-secret-knime-impersonation"}
2023-11-21T14:29:55.129Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/keycloak-keycloak-proxy-secretconfig", "targetSecret": "hub/keycloak-client-secret-keycloak-proxy"}
2023-11-21T14:29:55.179Z	INFO	controller-runtime.manager	Successfully updated Secret.	{"SecretConfig": "knime/execution-services-db-secretconfig", "targetSecret": "hub/execution-services-db-secret"}
